comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
equal,1,2.6101572156825386e-5,0.29166666666666663,0,1,23,23
equal,1,2.6101572156825386e-5,0.29166666666666663,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.29166666666666663,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.29166666666666663,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.29166666666666663,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.3333333333333333,0,1,24,24
equal,1,2.6101572156825386e-5,0.3333333333333333,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.3333333333333333,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.3333333333333333,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.3333333333333333,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.375,0,1,23,23
equal,1,2.6101572156825386e-5,0.375,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.375,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.375,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.375,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.41666666666666663,0,1,24,24
equal,1,2.6101572156825386e-5,0.41666666666666663,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.41666666666666663,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.41666666666666663,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.41666666666666663,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.4583333333333333,0,1.01,25,24.752475247524753
equal,1,2.6101572156825386e-5,0.4583333333333333,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.4583333333333333,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.4583333333333333,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.4583333333333333,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.5,0,1,24,24
equal,1,2.6101572156825386e-5,0.5,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.5,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.5,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.5,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.5416666666666666,0,1,24,24
equal,1,2.6101572156825386e-5,0.5416666666666666,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.5416666666666666,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.5416666666666666,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.5416666666666666,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.5833333333333333,0,1.01,24,23.762376237623762
equal,1,2.6101572156825386e-5,0.5833333333333333,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.5833333333333333,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.5833333333333333,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.5833333333333333,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.625,0,1,24,24
equal,1,2.6101572156825386e-5,0.625,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.625,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.625,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.625,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.6666666666666666,0,1,26,26
equal,1,2.6101572156825386e-5,0.6666666666666666,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.6666666666666666,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.6666666666666666,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.6666666666666666,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.7083333333333333,0,1.01,25,24.752475247524753
equal,1,2.6101572156825386e-5,0.7083333333333333,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.7083333333333333,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.7083333333333333,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.7083333333333333,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.75,0,1,24,24
equal,1,2.6101572156825386e-5,0.75,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.75,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.75,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.75,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.7916666666666666,0,1,25,25
equal,1,2.6101572156825386e-5,0.7916666666666666,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.7916666666666666,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.7916666666666666,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.7916666666666666,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.8333333333333333,0,1,26,26
